  9   0.550  -0.104  -0.005   0.001  83.0  83.0  83.0  61.0  62.0  54.0   0.104  267.25 0 0 0 0 0 0
 10   0.600  -0.104  -0.005   0.002  83.0  84.0  83.0  64.0  62.0  59.0   0.104  267.25 0 0 0 0 0 0
 11   0.650  -0.106  -0.007   0.003  81.0  85.0  83.0  61.0  62.0  56.0   0.106  266.22 0 0 0 0 0 0
 12   0.700  -0.114  -0.004   0.002  81.0  86.0  83.0  63.0  63.0  59.0   0.114  267.99 0 0 0 0 0 0
 13   0.750  -0.115  -0.001   0.004  84.0  87.0  87.0  62.0  59.0  60.0   0.115  269.50 0 0 0 0 0 0
 14   0.800  -0.112   0.005   0.004  85.0  85.0  85.0  61.0  51.0  52.0   0.112  272.56 0 0 0 0 0 0
 15   0.850  -0.115   0.007   0.004  83.0  85.0  85.0  53.0  32.0  43.0   0.115  273.48 0 0 0 0 0 0
 16   0.900  -0.121  -0.005  -0.002  82.0  85.0  85.0  41.0  15.0  27.0   0.121  267.63 0 0 0 0 0 0
02 10 2023 11 30 00.000     1   112 00000000 01110000  11.6 1546.7 285.8  -3.3  -0.4   1.113  30.56     0     0 3  16
  1   0.150  -0.052   0.037  -0.009  95.0  95.0  96.0  70.0  61.0  68.0   0.064  305.43 0 0 0 0 0 0
  2   0.200  -0.064   0.044  -0.008  92.0  91.0  91.0  70.0  60.0  68.0   0.078  304.51 0 0 0 0 0 0
  3   0.250  -0.069   0.041  -0.006  89.0  88.0  89.0  68.0  58.0  68.0   0.080  300.72 0 0 0 0 0 0
  4   0.300  -0.074   0.038  -0.005  85.0  87.0  87.0  68.0  58.0  69.0   0.083  297.18 0 0 0 0 0 0
  5   0.350  -0.080   0.034  -0.007  84.0  86.0  85.0  67.0  58.0  71.0   0.087  293.03 0 0 0 0 0 0
  6   0.400  -0.087   0.036  -0.005  83.0  83.0  83.0  69.0  60.0  68.0   0.094  292.48 0 0 0 0 0 0
  7   0.450  -0.093   0.036  -0.003  82.0  79.0  83.0  68.0  64.0  70.0   0.100  291.16 0 0 0 0 0 0
  8   0.500  -0.096   0.037  -0.002  80.0  79.0  82.0  70.0  65.0  69.0   0.103  291.08 0 0 0 0 0 0
  9   0.550  -0.099   0.039  -0.002  80.0  78.0  81.0  70.0  68.0  69.0   0.106  291.50 0 0 0 0 0 0
 10   0.600  -0.101   0.039  -0.002  78.0  77.0  79.0  68.0  68.0  69.0   0.108  291.11 0 0 0 0 0 0
 11   0.650  -0.100   0.032   0.000  77.0  77.0  76.0  70.0  71.0  65.0   0.105  287.74 0 0 0 0 0 0
 12   0.700  -0.106   0.038   0.001  79.0  79.0  78.0  71.0  72.0  69.0   0.113  289.72 0 0 0 0 0 0
