Vial_No_Only,Placement_Code,T0_Weight,T0_Temp,T0_Sal,T1_Weight,T1_Temp,T1_Sal,Change,Percent_Change,Percent_Change.1,Surface_Area,Change_Over_Area,T1_Notes,T0_sw_dens,T1_sw_dens,T0_dry_weight.g,T1_dry_weight.g,Percent_Change_100
1,PRU V01 A,12.4754,29.7,31.48,14.1444,28.6,31.54,2.5638621860094517,0.13402626184676947,13.37832855,39.38152,0.0651031800197009,,1.0191907833541878,1.0196001931246912,19.129550811024508,21.69341299703396,13.402626184676947
3,PRU V01 B,12.6547,29.7,31.5,14.6659,28.6,31.29,3.086397957969009,0.15905465111439632,15.89290935,39.28832,0.07855764659748772,,1.01920575436395,1.0194127460649343,19.404638194133597,22.491036152102605,15.905465111439632
2,PRU V01 C,12.8067,29.7,31.49,15.2974,28.7,31.39,3.82236065258013,0.19464463212725452,19.44841372,56.7074,0.0674049710016705,,1.0191982688384658,1.0194549761123912,19.637637117478544,23.459997770058674,19.464463212725452
6,PRU V02 A,13.1899,29.6,31.5,13.5607,28.3,31.35,0.5720345671867371,0.028282608385249413,2.811241935,13.93792,0.04104160213193483,,1.019239256897649,1.0195555031538561,20.225665164782946,20.797699731969683,2.8282608385249413
5,PRU V02 B,12.2756,29.6,31.49,13.4917,28.3,31.39,1.8686162765054561,0.0992699470523555,9.906644074,31.62262,0.05909112769610665,,1.0192317702367248,1.0195855080871457,18.82358490148018,20.692201177985638,9.92699470523555
4,PRU V02 C,12.4651,29.6,31.48,13.2618,28.3,31.41,1.2256715175300634,0.06412397261505642,6.391444914,29.87046,0.04103289730155021,,1.0192242836170018,1.0196005107997577,19.114092086713192,20.339763604243256,6.412397261505642
9,PRU V03 A,13.3353,28.9,31.5,14.4182,28.3,31.42,1.6623210140168787,0.08128266972503749,8.120552219,31.5667,0.05266058897562554,,1.0194716995199282,1.0196080122175863,20.45111239136421,22.113433405381087,8.128266972503749
8,PRU V03 B,12.1414,28.9,31.49,12.3874,28.3,31.41,0.3786213462367378,0.020334049978202585,2.026125488,3.74184,0.1011858727889856,,1.0194642048116955,1.0196005107997577,18.620065685026205,18.998687031262943,2.0334049978202584
7,PRU V03 C,13.9669,28.9,31.49,14.9538,28.2,31.39,1.5153566976082793,0.07074608436760556,7.065991738,30.09414,0.05035387944657263,,1.0194642048116955,1.0196179528609048,21.41965468695476,22.93501138456304,7.074608436760556
15,PRU V04 A,16.4963,29.1,31.47,17.8048,28.2,31.39,2.0099875637724764,0.07945345740568119,7.93208174,41.75812,0.048134053060158756,,1.0193831819843875,1.0196179528609048,25.297672743297834,27.30766030707031,7.9453457405681185
14,PRU V04 B,16.3879,29,31.51,17.8553,28.2,31.27,2.251556438569896,0.08958827644922077,8.954167404,44.06948,0.05109105981213974,,1.0194462101490593,1.0195279257947678,25.13226649522712,27.383822933797017,8.958827644922076
13,PRU V04 C,13.8674,29,31.5,14.7492,28.1,31.3,1.3540173198455783,0.06366819375193289,6.358798333,30.47626,0.04442859195470764,,1.019438716559988,1.0195827905595372,21.26677764915346,22.62079496899904,6.366819375193289
18,PRU V05 A,12.2536,28.4,31.51,13.3955,28.8,31.45,1.74949192882384,0.09308831288800776,9.318894039,29.80056,0.058706679633665944,,1.0196429924635053,1.019467128851116,18.7938944701749,20.54338639899874,9.308831288800775
17,PRU V05 B,13.17,28.4,31.52,14.4145,28.9,31.41,1.9059034243987263,0.09435400206230087,9.449506454,29.726,0.06411570424539885,,1.0196504931098938,1.0194042486264858,20.199497453645687,22.105400878044414,9.435400206230087
16,PRU V05 C,11.4012,28.4,31.52,12.8436,28.8,31.41,2.210082376653922,0.12638720438945875,12.65129986,30.01958,0.07362136234597293,,1.0196504931098938,1.0194371464314667,17.486599116818923,19.696681493472845,12.638720438945874
