ID,Placement_Code,Slurry Label,Dry Weight,Wax Weight,Wax-Dry,Surface_Area
23,PRU V08 B,PRU 35,6.4055,6.9835,0.578,28.2348
24,PRU V08 C,PRU 34,5.737,6.285,0.548,26.8368
25,PRU V09 A,PRU 45,8.0157,8.0976,0.0819,5.11654
26,PRU V09 B,PRU 44,9.5383,9.705,0.1667,9.06822
27,PRU V09 C,PRU 43,6.4873,6.8022,0.3149,15.97434
28,PRU V10 A,PRU 42,10.5733,11.2499,0.6766,32.82956
29,PRU V10 B,Pru 41,5.3332,5.623,0.2898,14.80468
30,PRU V10 C,PRU 40,10.9802,11.6925,0.7123,34.49318
31,PRU V11 A,PRU 30,7.4472,8.1039,0.6567,31.90222
32,PRU V11 B,PRU 29,4.556,4.8344,0.2784,14.27344
33,PRU V11 C,PRU 28,5.6924,6.1145,0.4221,20.96986
34,PRU V12 A,PRU 33,9.7581,10.1231,0.365,18.309
35,PRU V12 B,PRU 32,7.3756,7.6321,0.2565,13.2529
36,PRU V12 C,PRU 31,11.8633,12.0167,0.1534,8.44844
37,PRU V13 A,PRU 58,5.4462,5.744,0.2978,15.17748
38,PRU V13 B,PRU 59,13.05,14.0813,1.0313,49.35858
39,PRU V13 C,PRU 60,12.9453,13.8228,0.8775,42.1915
40,PRU V14 A,PRU 57,12.163,13.033,0.87,41.842
41,PRU V14 B,PRU 56,14.1225,15.5189,1.3964,66.37224
42,PRU V14 C,PRU 55,10.5958,10.6724,0.0766,4.86956
43,PRU V15 A,PRU 21,15.2625,16.3052,1.0427,49.88982
44,PRU V15 B,PRU 20,12.6262,13.2492,0.623,30.3318
45,PRU V15 C,PRU 19,15.2961,15.7905,0.4944,24.33904
46,PRU V16 A,PRU 12,16.8138,18.3532,1.5394,73.03604
47,PRU V16 B,PRU 11,12.3567,13.5288,1.1721,55.91986
48,PRU V16 C,PRU 10,12.5653,13.3435,0.7782,37.56412
49,PRU V17 A,PRU 51,9.0613,9.9461,0.8848,42.53168
50,PRU V17 B,PRU 50,15.3864,16.5308,1.1444,54.62904
51,PRU V17 C,PRU 49,15.0578,15.9485,0.8907,42.80662
52,PRU V18 A,PRU 39,9.2637,9.6633,0.3996,19.92136
53,PRU V18 B,PRU 38,10.0313,10.3698,0.3385,17.0741
54,PRU V18 C,PRU 37,8.1554,8.6949,0.5395,26.4407
55,PRU V19 A,PRU 48,9.0242,9.7592,0.735,35.551
56,PRU V19 B,PRU 47,7.4889,8.154,0.6651,32.29366
57,PRU V19 C,PRU 46,11.9256,12.8546,0.929,44.5914
58,PRU V20 A,PRU 54,7.3381,7.8085,0.4704,23.22064
59,PRU V20 B,PRU 53,8.1537,8.5892,0.4355,21.5943
60,PRU V20 C,PRU 52,11.322,12.1418,0.8198,39.50268
