X,Meand13C,SDd13C,Meand15N,SDd15N
POM Out,0.5,1.3,2.3,1.5
POM Seep,0.5,1.3,2.3,1.5
ZOOP Out,0.5,1.3,2.3,1.5
ZOOP Seep,0.5,1.3,2.3,1.5
Symbiont,0.5,1.3,1.5,1.3
