CowTagID,Parameters,Maximum,Minimum,Range,MeanSeasonal,CVSeasonal,lat,lon
V1,Salinity,36.67,36.34,0.3299999999999983,36.5625,0.004132087502150571,-17.53975298,-149.900506
V1,pH,8.033556118392447,7.904822909610202,0.12873320878224526,7.954676503475633,0.0069979613758071975,-17.53975298,-149.900506
V1,Temperature,29.3,28.38,0.9200000000000017,28.7825,0.01435976065868677,-17.53975298,-149.900506
V1,TA,2360.875128,2333.14574,27.7293880000002,2349.9651295,0.005260125528165121,-17.53975298,-149.900506
V1,NN_umolL,0.758656776,0.154868566,0.60378821,0.4366859695,0.5876430605248364,-17.53975298,-149.900506
V1,Silicate_umolL,4.940658029,1.232851655,3.7078063739999996,2.19441359475,0.8344845362563399,-17.53975298,-149.900506
V1,Ammonia_umolL,0.828499422,0.230482094,0.5980173280000001,0.5076636655,0.5695909849011092,-17.53975298,-149.900506
V1,Phosphate_umolL,0.187228219,0.143281048,0.04394717100000001,0.165382252,0.11526763734033306,-17.53975298,-149.900506
V10,Salinity,36.61,36.56,0.04999999999999716,36.59,6.694424003233335e-4,-17.54030501,-149.899788
V10,pH,8.041790621002262,7.941249572922881,0.10054104807938113,7.982425211481341,0.005995534300766949,-17.54030501,-149.899788
V10,Temperature,29.51,28.71,0.8000000000000007,29.07,0.01168915944260949,-17.54030501,-149.899788
V10,TA,2355.541037,2329.516085,26.024951999999757,2342.7591525,0.004543272013292672,-17.54030501,-149.899788
V10,NN_umolL,0.185062483,0.073660449,0.111402034,0.12715325425000001,0.38968896828445554,-17.54030501,-149.899788
V10,Silicate_umolL,1.241850345,0.987118198,0.254732147,1.07563415825,0.10806143190727223,-17.54030501,-149.899788
V10,Ammonia_umolL,0.334172034,0.129792442,0.204379592,0.2400080075,0.3668340374683701,-17.54030501,-149.899788
V10,Phosphate_umolL,0.15502195,0.132885942,0.022136007999999985,0.143884336,0.06362281848786917,-17.54030501,-149.899788
V11,Salinity,36.63,36.37,0.2600000000000051,36.542500000000004,0.0032020632265569184,-17.54019303,-149.900068
V11,pH,8.042885776740297,7.941591869193428,0.10129390754686884,7.981275746151393,0.00592711477201897,-17.54019303,-149.900068
V11,Temperature,29.3,28.45,0.8500000000000014,28.814999999999998,0.012780992901723813,-17.54019303,-149.900068
V11,TA,2385.505837,2316.6125,68.89333699999997,2345.01406875,0.012362114774365506,-17.54019303,-149.900068
V11,NN_umolL,0.540719787,0.122511503,0.418208284,0.31237265599999997,0.6322755272779434,-17.54019303,-149.900068
V11,Silicate_umolL,3.202180346,0.977081198,2.225099148,1.5618229945,0.7006176301404184,-17.54019303,-149.900068
V11,Ammonia_umolL,0.294148198,0.092888905,0.20125929300000003,0.19729891375,0.4478083834642356,-17.54019303,-149.900068
V11,Phosphate_umolL,0.173538235,0.130612012,0.04292622300000001,0.15512636575,0.1185467775445808,-17.54019303,-149.900068
V12,Salinity,36.63,36.5,0.13000000000000256,36.5775,0.0015201355403014212,-17.54030996,-149.900112
V12,pH,8.04805275096319,7.94470926351412,0.10334348744907018,7.986819395236072,0.005890346177086344,-17.54030996,-149.900112
V12,Temperature,29.38,28.48,0.8999999999999986,28.865,0.013187504805594498,-17.54030996,-149.900112
V12,TA,2356.102916,2319.751901,36.351014999999734,2336.702701,0.006515383239228372,-17.54030996,-149.900112
V12,NN_umolL,0.25716736,0.111785903,0.145381457,0.162079054,0.4082288840290883,-17.54030996,-149.900112
V12,Silicate_umolL,1.077105098,0.909244919,0.16786017900000005,0.96341011075,0.07980300662149031,-17.54030996,-149.900112
V12,Ammonia_umolL,0.236962716,0.125171999,0.11179071699999998,0.19540873225,0.24996545154671165,-17.54030996,-149.900112
V12,Phosphate_umolL,0.163143128,0.131215299,0.03192782899999999,0.14585662175,0.09252381843620781,-17.54030996,-149.900112
V13,Salinity,36.6,36.38,0.21999999999999886,36.5325,0.0028567206741856614,-17.540749,-149.899133
V13,pH,8.034910979849021,7.932415829182265,0.10249515066675663,7.974779431238349,0.00616655591222137,-17.540749,-149.899133
V13,Temperature,29.43,28.56,0.870000000000001,28.975,0.01345692909566586,-17.540749,-149.899133
V13,TA,2350.382849,2320.632545,29.750304000000142,2334.6996627500002,0.005462850034908242,-17.540749,-149.899133
V13,NN_umolL,0.34603662,0.125666091,0.220370529,0.23977205825,0.4057655749085169,-17.540749,-149.899133
V13,Silicate_umolL,1.410056627,1.170206929,0.239849698,1.2980921575,0.08289427928213756,-17.540749,-149.899133
V13,Ammonia_umolL,1.689881996,0.132612713,1.5572692830000001,0.5913716904999999,1.2439674093837934,-17.540749,-149.899133
V13,Phosphate_umolL,0.164488923,0.134742211,0.02974671200000001,0.15119339575000001,0.08518553415083574,-17.540749,-149.899133
V14,Salinity,36.57,36.47,0.10000000000000142,36.5125,0.0011484419149067023,-17.54039696,-149.899396
V14,pH,8.015504621165217,7.915014660600744,0.1004899605644729,7.971830465974693,0.006463368975985726,-17.54039696,-149.899396
V14,Temperature,29.4,28.53,0.8699999999999974,28.915,0.014238415251764718,-17.54039696,-149.899396
V14,TA,2354.98,2322.19,32.789999999999964,2333.84,0.006278748078681895,-17.54039696,-149.899396
V14,NN_umolL,0.279610003,0.174607276,0.10500272699999999,0.20405761175,0.24727820592088381,-17.54039696,-149.899396
V14,Silicate_umolL,3.467295597,2.041695443,1.425600154,2.9075597755,0.20999896279266653,-17.54039696,-149.899396
V14,Ammonia_umolL,0.272426115,0.223881462,0.04854465300000002,0.24225822325000002,0.08650194643266797,-17.54039696,-149.899396
