"Placement_Code","Cage_Uncaged","Pin_Number","Metabolomics_Vial","Microbiome_Vial","Slurry_Label","Genotype","Species","Change_Over_Area","Percent_Change","Change_per_day","FSC.Events_per_cm_2","FSC.Events_per_g_dry_weight","CowTagID","Δ15N","Δ13C","δ15N_host","δ15N_symb","δ13C_host","δ13C_symb","C_N_ratio_host","C_N_ratio_symb","δ15N_T0_host","δ15N_T0_symb","δ13C_T0_host","δ13C_T0_symb","Chl_ug.cm.2"
"PAC V06 C","C",6,"PAC 22","PAC 22","PAC 22","PA19","Pocillopora acuta",0.0489411646622428,18.6721314022208,0.306100514790505,5386.1854371518,1438780.25841927,"V6",0.6,0.199999999999999,6.7,6.1,-16.7,-16.9,5.98391812865497,7.18045112781955,5.7,5.4,-16.9,-16.7,3.71150412916148
"PAC V06 B","B",6,"PAC 23","PAC 23","PAC 23","PA19","Pocillopora acuta",0.0435630720829573,16.54890548399,0.271293532524427,11322.4358248338,3585093.96676349,"V6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2182306701809
"PAC V06 A","A",6,"PAC 24","PAC 24","PAC 24","PA19","Pocillopora acuta",0.0275155202853684,8.01615860893767,0.131412436212093,8503.30543306172,2474943.93047379,"V6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.89425399205321
"PAC V07 C","C",7,"PAC 25","PAC 25","PAC 25","PA21","Pocillopora acuta",0.0390114661594601,12.3766775628486,0.202896353489321,16083.806496067,3926726.11847226,"V7",0.7,0.299999999999999,6.9,6.2,-15.9,-16.2,5.36698499317872,6.48447204968944,5.6,4.7,-19.3,-19.3,3.43570377009087
"PAC V07 B","B",7,"PAC 26","PAC 26","PAC 26","PA21","Pocillopora acuta",0.0404578582069608,10.1134497991448,0.165794259002374,22742.9857591964,4948265.47882337,"V7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.88376767317724
"PAC V07 A","A",7,"PAC 27","PAC 27","PAC 27","PA21","Pocillopora acuta",0.0504684598966757,17.6472886939487,0.289299814654896,14003.8723414316,3775966.64746175,"V7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.99038168140115
"PAC V11 C","C",11,"PAC 28","PAC 28","PAC 28","PA21","Pocillopora acuta",0.0470520662851965,14.5887969427888,0.239160605619489,15389.5774795197,3276404.37037855,"V11",0.7,0,7.2,6.5,-15.9,-15.9,5.44858156028369,6.19287833827893,5.6,4.7,-19.3,-19.3,3.41673559763465
"PAC V11 B","B",11,"PAC 29","PAC 29","PAC 29","PA21","Pocillopora acuta",0.0303145245273405,6.6560661421993,0.10911583839671,8087.5543312508,2516299.12465259,"V11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.01313260902157
"PAC V11 A","A",11,"PAC 30","PAC 30","PAC 30","PA21","Pocillopora acuta",0.0452637770116585,12.2971555098516,0.201592713276256,19191.7893212151,4615428.31174733,"V11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.72304817419261
"PAC V12 C","C",12,"PAC 31","PAC 31","PAC 31","PA19","Pocillopora acuta",0.0486963411541384,11.8051481799399,0.193527019343277,8642.19417391834,2479708.41991298,"V12",0.399999999999999,0.300000000000001,6.8,6.4,-16.3,-16.6,5.88511749347259,7.3235294117647,5.7,5.4,-16.9,-16.7,2.38584869314078
"PAC V12 B","B",12,"PAC 32","PAC 32","PAC 32","PA19","Pocillopora acuta",0.0193940991795357,3.93443086516327,0.0644988666420209,4581.02593026167,1370756.89667153,"V12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08047089456347
"PAC V12 A","A",12,"PAC 33","PAC 33","PAC 33","PA19","Pocillopora acuta",0.019230982837624,3.49861292612726,0.0573543102643813,9201.07682925652,2914805.43090788,"V12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7238270456016
"PAC V08 C","C",8,"PAC 34","PAC 34","PAC 34","PA18","Pocillopora acuta",0.00897849584514338,2.3161256096898,0.0379692722899968,12102.5634352474,2967711.30104464,"V8",0.199999999999999,0.300000000000001,6.1,5.9,-16.3,-16.6,7.27738927738928,8.9882005899705,5.8,4.9,-16.9,-16.8,2.48199370930053
"PAC V08 B","B",8,"PAC 35","PAC 35","PAC 35","PA18","Pocillopora acuta",0.0273216689408393,8.05517284757318,0.132052013894642,30265.9638775477,7342160.45042934,"V8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.09865170710886
"PAC V08 A","A",8,"PAC 36","PAC 36","PAC 36","PA18","Pocillopora acuta",0.0338203542459271,11.336177148816,0.185838969652722,8439.34373843425,4254391.01089124,"V8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11184735248169
"PAC V18 C","C",18,"PAC 37","PAC 37","PAC 37","PA11","Pocillopora acuta",0.0321530198179067,6.51638067405318,0.106825912689396,9260.23811425076,2526417.0708934,"V18",-0.6,0.699999999999999,6.2,6.8,-16.7,-17.4,5.10825439783491,7.17731958762887,5.6,5.3,-16.6,-17,3.05394577586823
"PAC V18 B","B",18,"PAC 38","PAC 38","PAC 38","PA11","Pocillopora acuta",0.0323383320764004,3.76154342942,0.0616646463839345,16398.9221034688,3341756.39053688,"V18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.748733246425911
"PAC V18 A","A",18,"PAC 39","PAC 39","PAC 39","PA11","Pocillopora acuta",0.0347145945146071,7.22139659115484,0.11838355067467,17013.9006060936,4875995.72965427,"V18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.754897348620424
"PAC V10 C","C",10,"PAC 40","PAC 40","PAC 40","PA18","Pocillopora acuta",0.0403403198417223,13.1807443741078,0.216077776624718,24511.9585284461,6587579.99477585,"V10",0.5,-0.100000000000001,6.2,5.7,-16.6,-16.5,7.83453237410072,7.56713426853707,5.8,4.9,-16.9,-16.8,4.20646464024384
"PAC V10 B","B",10,"PAC 41","PAC 41","PAC 41","PA18","Pocillopora acuta",0.0353599248380942,8.33034620549737,0.136563052549137,10217.489549667,2584173.3256733,"V10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.31223052375337
"PAC V10 A","A",10,"PAC 42","PAC 42","PAC 42","PA18","Pocillopora acuta",0.0326735418763687,7.98692543796551,0.130933203901074,6447.22106957655,1632351.7242806,"V10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.44274832870933
"PAC V09 C","C",9,"PAC 43","PAC 43","PAC 43","PA13","Pocillopora acuta",0.0477472681407381,19.4158136332349,0.318292026774342,6713.31227631591,2014486.95753804,"V9",0.7,0,6.7,6,-16,-16,5.79868421052632,6.40106951871658,5.8,5.3,-17,-17.3,1.62411896960367
"PAC V09 B","B",9,"PAC 44","PAC 44","PAC 44","PA13","Pocillopora acuta",0.0122896401088891,2.47890556534866,0.0406377961532568,8464.29243442455,2053601.54459914,"V9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.34902989316176
"PAC V09 A","A",9,"PAC 45","PAC 45","PAC 45","PA13","Pocillopora acuta",0.0189079929552414,4.5340106992005,0.0743280442491885,13559.0029410927,4341653.82106533,"V9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67526169245548
