Slurry_ID,Chl-a 1,Chl-a 2,Chl-c2 1,Chl-c2 2,Chl1,Chl2,Total_Chl_ug/mL,SD,CV,Slurry Volume (ml),Surface area (cm^2),Chl_ug/cm^2
PAC 40,12.88865211,13.85249577,1.515101408,1.76945493,14.40375352,15.6219507,15.01285211,0.861395489,0.05737720471,,,
PAC 41,6.350401408,7.069429577,1.114943662,1.113802817,7.46534507,8.183232394,7.824288732,0.5076229949,0.06487784542,,,
PAC 42,5.167952113,5.670730986,1.051195775,1.073290141,6.219147887,6.744021127,6.481584507,0.3711414269,0.05726090996,,,
PAC 43,5.845778873,6.188812676,0.4269464789,2.003159155,6.272725352,8.191971831,7.232348592,1.3571122,0.187644744,,,
PAC 44,2.44155493,2.64743662,0.5348535211,0.4770422535,2.976408451,3.124478873,3.050443662,0.1047015999,0.03432340062,,,
PAC 45,2.649446479,2.96968169,0.7301239437,1.310057746,3.379570423,4.279739437,3.82965493,0.6365156141,0.166207041,,,
PAC 46,2.677998592,2.894415493,0.6036633803,0.6409647887,3.281661972,3.535380282,3.408521127,0.1794059374,0.05263453878,,,
PAC 47,1.556208451,1.698288732,0.4070450704,0.5474788732,1.963253521,2.245767606,2.104510563,0.1997676249,0.09492355534,,,
PAC 48,1.787850704,1.820484507,1.287769014,0.8532760563,3.075619718,2.673760563,2.874690141,0.2841573335,0.09884798695,,,
PAC 49,2.595728169,2.899580282,0.5692014085,0.7605042254,3.164929577,3.660084507,3.412507042,0.3501274084,0.1026012266,,,
BLANK,0.03881690141,0.0210056338,-0.01990140845,0.0577056338,0.01891549296,0.07871126761,0.04881338028,0.04228199774,0.8661968808,,,
PAC 50,3.861325352,4.025646479,1.238949296,1.046649296,5.100274648,5.072295775,5.086285211,0.019784051,0.003889685729,,,
PAC 51,2.897957746,3.129133803,0.8291830986,0.8504366197,3.727140845,3.979570423,3.853355634,0.178494666,0.04632187708,,,
PAC 52,2.873178873,3.077966197,0.8635605634,0.9197028169,3.736739437,3.997669014,3.867204225,0.1845050736,0.04771019654,,,
PAC 53,2.554773239,2.720022535,0.5443394366,0.6509070423,3.099112676,3.370929577,3.235021127,0.1922035742,0.05941339073,,,
PAC 54,3.29818169,3.479825352,0.7285859155,0.6822591549,4.026767606,4.162084507,4.094426056,0.0956834986,0.02336920909,,,
PAC 55,6.39981831,6.835421127,1.322674648,1.415332394,7.722492958,8.250753521,7.986623239,0.3735366266,0.04677028268,,,
PAC 56,7.279433803,7.681242254,1.490171831,1.525398592,8.769605634,9.206640845,8.988123239,0.3090305615,0.03438210105,,,
PAC 57,5.068926761,5.372791549,1.184890141,1.308025352,6.253816901,6.680816901,6.467316901,0.3019345956,0.04668622246,,,
PAC 58,3.867030986,4.30468169,1.335595775,1.476832394,5.202626761,5.781514085,5.492070423,0.4093351523,0.07453202905,,,
PAC 59,2.634107042,2.764943662,0.5002098592,0.5078873239,3.134316901,3.272830986,3.203573944,0.09794424844,0.03057343148,,,
PAC 60,2.785280282,2.829402817,0.7968042254,0.619956338,3.582084507,3.449359155,3.515721831,0.09385099651,0.02669465931,,,
PRU 01,1.689633803,1.804539437,0.4404084507,0.5137352113,2.130042254,2.318274648,2.224158451,0.1331004025,0.05984303971,,,
PRU 02,8.502790141,9.016129577,2.798167606,2.779039437,11.30095775,11.79516901,11.54806338,0.3494601387,0.03026136307,,,
PRU 03,5.986007042,6.342649296,1.38971831,1.443076056,7.375725352,7.785725352,7.580725352,0.2899137803,0.03824354093,,,
PRU 04,1.999126761,2.0985,0.5958380282,0.5150492958,2.594964789,2.613549296,2.604257042,0.01314123095,0.005046057567,,,
PRU 05,1.117656338,1.246149296,0.3039633803,0.410843662,1.421619718,1.656992958,1.539306338,0.1664340137,0.1081227366,,,
PRU 06,0.919656338,0.9709014085,0.2986816901,0.2937676056,1.218338028,1.264669014,1.241503521,0.03276095432,0.0263881284,,,
PRU 07,1.172546479,1.260780282,0.415284507,0.6031140845,1.587830986,1.863894366,1.725862676,0.1952062882,0.1131065008,,,
PRU 08,0.2158633803,0.2184647887,0.1283619718,0.08588028169,0.3442253521,0.3043450704,0.3242852113,0.02819961762,0.08695930816,,,
PRU 09,2.508911268,2.657714085,0.4566591549,0.5154338028,2.965570423,3.173147887,3.069359155,0.146779433,0.04782087256,,,
PRU 10,2.331235211,2.482252113,0.8084619718,0.5029943662,3.139697183,2.985246479,3.062471831,0.1092131403,0.03566176159,,,
PRU 11,3.333342254,3.374540845,1.133974648,0.8103676056,4.467316901,4.184908451,4.326112676,0.1996929306,0.04615990047,,,
PRU 12,6.625174648,7.114791549,1.860790141,1.966588732,8.485964789,9.081380282,8.783672535,0.4210223327,0.04793238033,,,
PRU 13,0.9551633803,1.027774648,0.2836183099,0.3211478873,1.23878169,1.348922535,1.293852113,0.07788133843,0.06019338506,,,
PRU 14,3.541850704,3.496787324,0.8973464789,0.8434943662,4.439197183,4.34028169,4.389739437,0.06994381583,0.01593347779,,,
PRU 15,3.244567606,3.325188732,0.9690380282,0.735156338,4.213605634,4.06034507,4.136975352,0.1083715837,0.02619584949,,,
PRU 16,2.512080282,2.730287324,0.7283070423,0.7574661972,3.240387324,3.487753521,3.364070423,0.1749143155,0.0519948436,,,
PRU 17,2.331092958,2.492877465,0.6115901408,0.5942915493,2.942683099,3.087169014,3.014926056,0.1021669706,0.03388705684,,,
PRU 18,1.298373239,1.365729577,0.4321267606,0.3539323944,1.7305,1.719661972,1.725080986,0.007663643213,0.00444248315,,,
PRU 19,2.533008451,2.650077465,0.7216605634,0.703415493,3.254669014,3.353492958,3.304080986,0.06987908071,0.02114932443,,,
PRU 20,2.2502,2.594994366,0.3835605634,0.6678929577,2.633760563,3.262887324,2.948323944,0.4448597986,0.1508856581,,,
PRU 21,1.98163662,2.169616901,0.389328169,0.4129394366,2.370964789,2.582556338,2.476760563,0.1496178193,0.06040867315,,,
PRU 22,2.49048169,2.716725352,0.4928070423,0.5875774648,2.983288732,3.304302817,3.143795775,0.226991236,0.07220292038,,,
