Placement,Slurry Label,GENOTYPE,T0/T1,Aluminum Boat Weight,Slurry Volume (ml),Slurry Weight,Aliquot ml,Wet Weight,Wet weight of sample,Dry Weight,Dry Weight of Sample,Approximate Dry Weight of Whole Sample,Notes
PRU V09 A,PRU 45,,T1,2.2512,45,56.5878,10,11.9999,9.7487,2.2602,0.009,0.0405,
PRU V09 B,PRU 44,,T1,2.2769,45,56.4767,10,12.0014,9.7245,2.2981,0.0212,0.0954,
PRU V09 C,PRU 43,,T1,2.2486,44.5,55.8645,10,12.0237,9.7751,2.2761,0.0275,0.122375,
PRU V10 A,PRU 42,,T1,2.2621,45,56.2107,10,12.0757,9.8136,2.3081,0.046,0.207,
PRU V10 B,PRU 41,,T1,2.2537,45,56.2526,10,11.6517,9.398,2.2753,0.0216,0.0972,
PRU V10 C,PRU 40,,T1,2.2738,45,55.3428,10,12.0047,9.7309,2.3128,0.039,0.1755,
PRU V11 A,PRU 30,,T1,2.2658,45,57.1146,10,12.1114,9.8456,2.3185,0.0527,0.23715,
PRU V11 B,PRU 29,,T1,2.2656,45,56.9027,10,12.0484,9.7828,2.2891,0.0235,0.10575,
PRU V11 C,PRU 28,,T1,2.2482,45,57.7365,10,12.0375,9.7893,2.2889,0.0407,0.18315,
PRU V12 A,PRU 33,,T1,2.2866,45,56.559,10,12.0573,9.7707,2.3142,0.0276,0.1242,
PRU V12 B,PRU 32,,T1,2.2763,45,58.2867,10,12.0955,9.8192,2.3072,0.0309,0.13905,
PRU V12 C,PRU 31,,T1,2.2501,45,57.9203,10,12.0655,9.8154,2.2719,0.0218,0.0981,
PRU V13 A,PRU 58,,T1,2.251,45,57.2908,10,11.6374,9.3864,2.2746,0.0236,0.1062,
PRU V13 B,PRU 59,,T1,2.2492,45.5,57.2084,10,11.5555,9.3063,2.3253,0.0761,0.346255,
PRU V13 C,PRU 60,,T1,2.2817,45,56.2325,10,11.5803,9.2986,2.3509,0.0692,0.3114,
PRU V14 A,PRU 57,,T1,2.2417,45,57.6684,10,11.6497,9.408,2.29,0.0483,0.21735,
PRU V14 B,PRU 56,,T1,2.2459,45,56.833,10,11.6443,9.3984,2.3197,0.0738,0.3321,
PRU V14 C,PRU 55,,T1,2.2712,45,,10,11.7019,9.4307,2.2719,0.0007,0.00315,
PRU V15 A,PRU 21,,T1,2.2809,44.5,56.254,10,11.9133,9.6324,2.3336,0.0527,0.234515,slurry leaked into bag
PRU V15 B,PRU 20,,T1,2.2442,45,57.8353,10,11.9113,9.6671,2.2944,0.0502,0.2259,
PRU V15 C,PRU 19,,T1,2.2507,45,57.8369,10,11.8352,9.5845,2.3108,0.0601,0.27045,
PRU V16 A,PRU 12,,T1,2.2189,45.5,57.7449,10,11.8056,9.5867,2.3241,0.1052,0.47866,
PRU V16 B,PRU 11,,T1,2.2069,44.5,57.3535,10,11.8843,9.6774,2.2814,0.0745,0.331525,
PRU V16 C,PRU 10,,T1,2.2674,47.5,58.5771,10,11.936,9.6686,2.3329,0.0655,0.311125,
PRU V17 A,PRU 51,,T1,2.2606,44,55.7539,10,11.7546,9.494,2.3135,0.0529,0.23276,
PRU V17 B,PRU 50,,T1,2.2651,45,58.2435,10,12.1041,9.839,2.3575,0.0924,0.4158,
PRU V17 C,PRU 49,,T1,2.2484,45,57.1154,10,12.1615,9.9131,2.3295,0.0811,0.36495,
PRU V18 A,PRU 39,,T1,2.2482,45,57.9698,10,12.1054,9.8572,2.2661,0.0179,0.08055,
PRU V18 B,PRU 38,,T1,2.2322,45,57.3054,10,11.9981,9.7659,2.26,0.0278,0.1251,
PRU V18 C,PRU 37,,T1,2.3029,45,56.4868,10,12.0745,9.7716,2.3437,0.0408,0.1836,
PRU V19 A,PRU 48,,T1,2.2733,43,54.4848,10,12.1699,9.8966,2.3133,0.04,0.172,
PRU V19 B,PRU 47,,T1,2.2756,46,58.6249,10,11.9325,9.6569,2.3191,0.0435,0.2001,Slurry leaked in bag - added to falcon tube
PRU V19 C,PRU 46,,T1,2.2591,45,57.8506,10,12.1015,9.8424,2.2972,0.0381,0.17145,
PRU V20 A,PRU 54,,T1,2.2715,45,56.8354,10,11.6554,9.3839,2.2979,0.0264,0.1188,
PRU V20 B,PRU 53,,T1,2.2699,45,56.1312,10,11.7909,9.521,2.308,0.0381,0.17145,
PRU V20 C,PRU 52,,T1,2.2708,45,56.0135,10,11.8128,9.542,2.3267,0.0559,0.25155,
