Placement_Code,Cage_Uncaged,Pin_Number,Metabolomics_Vial,Microbiome_Vial,Slurry_Label,Genotype,Species
PRU V08 B,B,8,PRU 35,PRU 35,PRU 35,PR02,Porites rus
PRU V08 C,C,8,PRU 34,PRU 34,PRU 34,PR02,Porites rus
PRU V09 A,A,9,PRU 45,PRU 45,PRU 45,PR04,Porites rus
PRU V09 B,B,9,PRU 44,PRU 44,PRU 44,PR04,Porites rus
PRU V09 C,C,9,PRU 43,PRU 43,PRU 43,PR04,Porites rus
PRU V10 A,A,10,PRU 42,PRU 42,PRU 42,PR07,Porites rus
PRU V10 B,B,10,PRU 41,PRU 41,PRU 41,PR07,Porites rus
PRU V10 C,C,10,PRU 40,PRU 40,PRU 40,PR07,Porites rus
PRU V11 A,A,11,PRU 30,PRU 30,PRU 30,PR07,Porites rus
PRU V11 B,B,11,PRU 29,PRU 29,PRU 29,PR07,Porites rus
PRU V11 C,C,11,PRU 28,PRU 28,PRU 28,PR07,Porites rus
PRU V12 A,A,12,PRU 33,PRU 33,PRU 33,PR06,Porites rus
PRU V12 B,B,12,PRU 32,PRU 32,PRU 32,PR06,Porites rus
PRU V12 C,C,12,PRU 31,PRU 31,PRU 31,PR06,Porites rus
PRU V13 A,A,13,PRU 58,PRU 58,PRU 58,PR04,Porites rus
PRU V13 B,B,13,PRU 59,PRU 59,PRU 59,PR04,Porites rus
PRU V13 C,C,13,PRU 60,PRU 60,PRU 60,PR04,Porites rus
PRU V14 A,A,14,PRU 57,PRU 57,PRU 57,PR07,Porites rus
PRU V14 B,B,14,PRU 56,PRU 56,PRU 56,PR07,Porites rus
PRU V14 C,C,14,PRU 55,PRU 55,PRU 55,PR07,Porites rus
PRU V15 A,A,15,PRU 21,PRU 21,PRU 21,PR06,Porites rus
PRU V15 B,B,15,PRU 20,PRU 20,PRU 20,PR06,Porites rus
PRU V15 C,C,15,PRU 19,PRU 19,PRU 19,PR06,Porites rus
PRU V16 A,A,16,PRU 12,PRU 12,PRU 12,PR03,Porites rus
PRU V16 B,B,16,PRU 11,PRU 11,PRU 11,PR03,Porites rus
PRU V16 C,C,16,PRU 10,PRU 10,PRU 10,PR03,Porites rus
PRU V17 A,A,17,PRU 51,PRU 51,PRU 51,PR08,Porites rus
PRU V17 B,B,17,PRU 50,PRU 50,PRU 50,PR08,Porites rus
PRU V17 C,C,17,PRU 49,PRU 49,PRU 49,PR08,Porites rus
PRU V18 A,A,18,PRU 39,PRU 39,PRU 39,PR08,Porites rus
PRU V18 B,B,18,PRU 38,PRU 38,PRU 38,PR08,Porites rus
PRU V18 C,C,18,PRU 37,PRU 37,PRU 37,PR08,Porites rus
PRU V19 A,A,19,PRU 48,PRU 48,PRU 48,PR08,Porites rus
PRU V19 B,B,19,PRU 47,PRU 47,PRU 47,PR08,Porites rus
PRU V19 C,C,19,PRU 46,PRU 46,PRU 46,PR08,Porites rus
PRU V20 A,A,20,PRU 54,PRU 54,PRU 54,PR03,Porites rus
PRU V20 B,B,20,PRU 53,PRU 53,PRU 53,PR03,Porites rus
PRU V20 C,C,20,PRU 52,PRU 52,PRU 52,PR03,Porites rus
T0,T0,0,PRU 63,PRU 63,PRU 63,PR07,Porites rus
T0,T0,0,PRU 65,PRU 65,PRU 65,PR08,Porites rus
T0,T0,0,PRU 67,PRU 67,PRU 67,PR06,Porites rus
T0,T0,0,PRU 69,PRU 69,PRU 69,PR03,Porites rus
T0,T0,0,PRU 71,PRU 71,PRU 71,PR04,Porites rus
T0,T0,0,PRU 75,PRU 75,PRU 75,PR02,Porites rus
T0,T0,0,PRU 64,PRU 64,PRU 64,PR07,Porites rus
T0,T0,0,PRU 66,PRU 66,PRU 66,PR08,Porites rus
T0,T0,0,PRU 68,PRU 68,PRU 68,PR06,Porites rus
T0,T0,0,PRU 70,PRU 70,PRU 70,PR03,Porites rus
T0,T0,0,PRU 72,PRU 72,PRU 72,PR04,Porites rus
