"","CowTagID","pulse_pc1","pulse_pc2"
"1","V1",2.57434595301432,0.845817818311966
"2","V10",-1.80808724879865,0.399376424047638
"3","V11",1.26155941798195,1.00577005696999
"4","V12",-1.64542146132905,0.909424035231515
"5","V13",-1.46706842388368,0.222130973914273
"6","V14",-1.01477291531017,-0.651025895282464
"7","V15",1.21035542130303,-1.36235553652242
"8","V16",-3.03226242405126,-0.300561043313707
"9","V17",0.441611902186974,-1.08402118101828
"10","V18",2.19669740601059,-2.37630120430567
"11","V19",-3.44704176020323,-0.269542295749387
"12","V2",1.86449439215302,0.516195633073575
"13","V20",-2.75897940919492,-0.97980043639548
"14","V3",0.399130917102148,1.11484419499612
"15","V4",-0.431736796578048,0.665698930283719
"16","V5",0.0982531776536906,0.609359025797949
"17","V6",2.67350853051769,0.0834079837298273
"18","V7",2.18339902746685,-0.0582183363829934
"19","V8",1.71352215201932,0.250856484587137
"20","V9",-1.01150785806041,0.458944368026839
