"","CowTagID","Parameter","value"
"129","V12","Mean_TA",2336.702701
"130","V12","Mean_Phosphate_umolL",0.14585662175
"131","V12","Mean_Silicate_umolL",0.96341011075
"132","V12","Mean_NN_umolL",0.162079054
"133","V12","Mean_NNP_umolL",1.11261623339218
"134","V12","Low_Tide_Mean_TA",2341.67476775
"135","V12","Low_Tide_Mean_Phosphate_umolL",0.177267015
"136","V12","Low_Tide_Mean_Silicate_umolL",1.951961358
"137","V12","Low_Tide_Mean_NN_umolL",0.43589203875
"138","V12","Low_Tide_Mean_NNP_umolL",2.2895828679989
"139","V12","CV_Salinity",0.00152013554030142
"140","V12","CV_Temperature",0.0131875048055945
"141","V12","CV_TA",0.00651538323922837
"142","V12","CV_pH",0.00589034617708634
"143","V12","CV_Phosphate_umolL",0.0925238184362078
"144","V12","CV_Silicate_umolL",0.0798030066214903
"145","V12","CV_NN_umolL",0.408228884029088
"146","V12","CV_Ammonia_umolL",0.249965451546712
"147","V12","Low_Tide_Mean_TA.1",2341.67476775
"148","V12","Low_Tide_Mean_Phosphate_umolL.1",0.177267015
"149","V12","Low_Tide_Mean_Silicate_umolL.1",1.951961358
"150","V12","Low_Tide_Mean_NN_umolL.1",0.43589203875
"151","V12","Low_Tide_Mean_NNP_umolL.1",2.2895828679989
"152","V12","pc1",-2.30089103843269
"153","V12","pc2",-0.182462994663031
"154","V12","X._loss",30.71669794
"155","V12","lat",-17.54030996
"156","V12","lon",-149.900112
"157","V12","dist_to_seep_m",82.9029737477621
"158","V12","shore_dist_m",47
"159","V12","pulse_pc1",-1.64542146132905
"160","V12","pulse_pc2",0.909424035231515
"161","V13","Maximum_TA",2350.382849
"162","V13","Maximum_Phosphate_umolL",0.164488923
"163","V13","Maximum_Silicate_umolL",1.410056627
"164","V13","Maximum_NN_umolL",0.34603662
"165","V13","Maximum_NNP_umolL",2.19666858535307
"166","V13","Minimum_Salinity",36.38
"167","V13","Minimum_Temperature",28.56
"168","V13","Minimum_pH",7.93241582918226
"169","V13","Mean_TA",2334.69966275
"170","V13","Mean_Phosphate_umolL",0.15119339575
"171","V13","Mean_Silicate_umolL",1.2980921575
"172","V13","Mean_NN_umolL",0.23977205825
"173","V13","Mean_NNP_umolL",1.59642082315434
"174","V13","Low_Tide_Mean_TA",2340.17320225
"175","V13","Low_Tide_Mean_Phosphate_umolL",0.18888561225
"176","V13","Low_Tide_Mean_Silicate_umolL",1.3930262685
"177","V13","Low_Tide_Mean_NN_umolL",0.44368746575
"178","V13","Low_Tide_Mean_NNP_umolL",2.30615578209036
"179","V13","CV_Salinity",0.00285672067418566
"180","V13","CV_Temperature",0.0134569290956659
"181","V13","CV_TA",0.00546285003490824
"182","V13","CV_pH",0.00616655591222137
"183","V13","CV_Phosphate_umolL",0.0851855341508357
"184","V13","CV_Silicate_umolL",0.0828942792821376
"185","V13","CV_NN_umolL",0.405765574908517
"186","V13","CV_Ammonia_umolL",1.24396740938379
"187","V13","Low_Tide_Mean_TA.1",2340.17320225
"188","V13","Low_Tide_Mean_Phosphate_umolL.1",0.18888561225
"189","V13","Low_Tide_Mean_Silicate_umolL.1",1.3930262685
"190","V13","Low_Tide_Mean_NN_umolL.1",0.44368746575
"191","V13","Low_Tide_Mean_NNP_umolL.1",2.30615578209036
"192","V13","pc1",-0.858263571488811
"193","V13","pc2",-0.517845029842711
"194","V13","X._loss",24.625
"195","V13","lat",-17.540749
"196","V13","lon",-149.899133
"197","V13","dist_to_seep_m",-54.0160089962688
"198","V13","shore_dist_m",NA
"199","V13","pulse_pc1",-1.46706842388368
"200","V13","pulse_pc2",0.222130973914273
"201","V14","Maximum_TA",2354.98
"202","V14","Maximum_Phosphate_umolL",0.163235941
"203","V14","Maximum_Silicate_umolL",3.467295597
"204","V14","Maximum_NN_umolL",0.279610003
"205","V14","Maximum_NNP_umolL",1.79081389784805
"206","V14","Minimum_Salinity",36.47
"207","V14","Minimum_Temperature",28.53
"208","V14","Minimum_pH",7.91501466060074
"209","V14","Mean_TA",2333.84
"210","V14","Mean_Phosphate_umolL",0.1533397065
"211","V14","Mean_Silicate_umolL",2.9075597755
"212","V14","Mean_NN_umolL",0.20405761175
"213","V14","Mean_NNP_umolL",1.33053201202258
"214","V14","Low_Tide_Mean_TA",2345.11375475
"215","V14","Low_Tide_Mean_Phosphate_umolL",0.18928006925
"216","V14","Low_Tide_Mean_Silicate_umolL",3.1131265185
"217","V14","Low_Tide_Mean_NN_umolL",0.37355431975
"218","V14","Low_Tide_Mean_NNP_umolL",1.88899183440276
"219","V14","CV_Salinity",0.0011484419149067
"220","V14","CV_Temperature",0.0142384152517647
"221","V14","CV_TA",0.0062787480786819
