"CowTagID","pulse_pc1","pulse_pc2"
"V1",1.96702525926999,0.658136248029215
"V10",-1.68668813823539,0.272260556788627
"V11",0.629220463937086,0.326631590489731
"V12",-1.75067271832528,0.500656497491277
"V13",-1.52372721020676,-0.226421655190116
"V14",-0.605106786576997,-0.290101210707068
"V15",1.37102813268433,-1.26747975989385
"V16",-2.36308241603587,0.281340567751021
"V17",0.714725840265961,-0.841688762279668
"V18",2.6991033537369,-1.60238804679623
"V19",-2.97211003291662,-0.336539140691584
"V2",1.40143530040572,0.222283849587919
"V20",-2.47044486589943,-1.6528699505398
"V3",0.160655121931616,1.27881440789846
"V4",-0.632189983745684,0.312673032319963
"V5",0.0234433827874723,0.732333804504768
"V6",2.5867719108471,0.85577707813232
"V7",1.84979796401704,-0.223759252550027
"V8",1.43078898475648,0.112651362858086
"V9",-0.82997356269747,0.8876887827973
