Vial_No_Only,Placement_Code,T0_dry_weight.g,T1_dry_weight.g,Change,Change_Over_Area,Percent_Change
NA,PAC V01 A,14.992241188421643,NA,NA,NA,NA
NA,PAC V01 B,15.107324912293201,NA,NA,NA,NA
2,PAC V01 C,20.108516844661914,22.699391865940076,2.590875021278162,0.04315968489874829,0.12884466026473484
4,PAC V02 A,23.225994622538096,25.575042836078968,2.349048213540872,0.03754011969668193,0.1011387564544339
5,PAC V02 B,20.18544835927304,21.727515777969884,1.5420674186968455,0.03177919041820669,0.07639500452257389
6,PAC V02 C,21.77953713467352,24.52031284221269,2.740775707539168,0.03329089792376025,0.12584177940015953
7,PAC V03 A,24.444682761876273,26.263250903493038,1.8185681416167654,0.03430784218675983,0.07439524412454186
8,PAC V03 B,23.937698482732138,27.196678931950295,3.258980449218157,0.0770638394437314,0.1361442684880118
9,PAC V03 C,22.10259682047161,23.50971504166316,1.4071182211915492,0.01969586403677189,0.06366302713752912
16,PAC V04 A,21.651173545248927,22.265449490665237,0.6142759454163098,0.01519356026577058,0.02837148499745432
17,PAC V04 B,23.6417323912402,25.15719523307467,1.51546284183447,0.02758332884674414,0.06410117569878185
18,PAC V04 C,21.39889986629607,23.04459627344215,1.6456964071460796,0.033468038373447744,0.07690565484341101
22,PAC V05 A,25.093375966981156,26.6886513712338,1.595275404252643,0.024096185095821957,0.06357356644047292
23,PAC V05 B,24.91573637206869,26.630668173620364,1.7149318015516748,0.024943192732757965,0.06882926420244863
24,PAC V05 C,23.946729464554007,25.611007976108315,1.6642785115543077,0.02489315253051455,0.06949919879530003
34,PAC V06 A,28.97256934819446,31.29505646023019,2.322487112035727,0.027515520285368356,0.08016158608937671
35,PAC V06 B,25.547027614185314,29.774781068025675,4.227753453840361,0.04356307208295726,0.16548905483990028
36,PAC V06 C,28.95136788028056,34.3572053336269,5.40583745334634,0.048941164662242756,0.18672131402220823
43,PAC V07 A,19.586452543123947,23.042930368312284,3.456477825188337,0.050468459896675685,0.17647288693948684
44,PAC V07 B,22.71692711825031,25.014392138262878,2.2974650200125666,0.040457858206960844,0.10113449799144844
