Tube Name:,Sample ID:,Volume(μL):,All Events ,sym_FSC Events,sym_SSC Events,include Events,All Events  Mean Chla-A,sym_FSC Mean Chla-A,sym_SSC Mean Chla-A,include Mean Chla-A,All Events  Events/μL(V),sym_FSC Events/μL(V),sym_SSC Events/μL(V),include Events/μL(V)
04-Well-A1,,150.0,1225,59,52,965,826500.6,6719308.0,6323808.5,807490.8,8.16,0.39,0.35,8.03
04-Well-A2,,150.0,26414,281,272,20906,474636.7,6963979.5,6795396.5,457869.6,176.07,1.87,1.81,174.04
04-Well-A3,,150.0,14414,346,365,11453,645088.4,6817349.5,6589275.5,636482.8,96.09,2.31,2.43,95.35
04-Well-A4,,150.1,15480,329,329,12178,553118.1,6307799.5,6134155.5,526246.2,103.11,2.19,2.19,101.29
04-Well-A5,,150.1,4967,85,85,3900,620512.3,6003366.5,6063681.0,563200.8,33.10,0.57,0.57,32.46
04-Well-A6,,150.0,2049,56,59,1597,800937.3,6159319.0,5791359.0,803902.3,13.66,0.37,0.39,13.30
04-Well-A7,,150.3,3860,79,81,3043,713701.3,5562508.0,5328535.5,688473.0,25.68,0.53,0.54,25.27
04-Well-A8,,150.1,744,36,38,572,1323049.3,5207623.0,5076785.5,1192337.1,4.96,0.24,0.25,4.76
04-Well-A9,,150.0,2629,76,75,2073,678569.4,6508885.5,6091578.5,692662.5,17.52,0.51,0.50,17.25
04-Well-A10,,150.0,1883,94,85,1436,928668.4,6065340.0,6153044.0,880763.0,12.55,0.63,0.57,11.95
04-Well-A11,,150.1,10667,264,274,8277,752492.7,7559780.0,7184537.5,703082.9,71.08,1.76,1.83,68.88
04-Well-A12,,150.1,4317,116,119,3257,841955.5,7592792.0,7379990.5,832657.8,28.77,0.77,0.79,27.11
04-Well-B1,,150.0,5839,249,251,4572,925340.0,6834741.5,6641860.0,922268.3,38.92,1.66,1.67,38.06
04-Well-B2,,150.0,14647,283,287,11477,618371.7,6879833.0,6514594.0,589011.6,97.64,1.89,1.91,95.56
04-Well-B3,,150.0,2623,166,161,1919,1362567.3,6372942.0,6409973.5,1303835.5,17.48,1.11,1.07,15.98
04-Well-B4,,150.1,6063,223,227,4759,683984.0,6043510.0,5772016.5,658992.6,40.39,1.49,1.51,39.58
04-Well-B5,,150.0,8468,323,310,6519,776482.2,6339097.5,6294167.0,757248.6,56.45,2.15,2.07,54.27
04-Well-B6,,150.1,2133,22,24,1654,525394.0,6313898.0,5878856.0,508530.7,14.21,0.15,0.16,13.76
04-Well-B7,,150.0,11840,291,303,9349,536311.4,6234592.0,5966555.0,537471.2,78.93,1.94,2.02,77.83
04-Well-B8,,150.0,5658,239,217,4419,1474409.6,8184728.0,7599831.5,1414129.5,37.72,1.59,1.45,36.79
04-Well-B9,,150.0,3142,102,95,2416,881060.4,8061329.0,7548229.0,872836.2,20.94,0.68,0.63,20.11
04-Well-B10,,150.8,296,16,17,223,1697971.6,7353663.5,6584227.0,1686819.6,1.96,0.11,0.11,1.84
04-Well-B11,,150.0,4556,146,140,3537,661719.1,7093030.0,6692562.0,653897.1,30.37,0.97,0.93,29.45
