Y,Parameter,Reg_Type,AICc,R2,pVal.P,delAICc
Percent_Change,Salinity,Linear,-141.66661709006303,0.16205877337057076,0.0019062316816443802,4.137258648987569
Percent_Change,Salinity,Polynomial,-145.41598479286353,0.2466492104429178,0.017022727252620468,0.38789094618707054
Percent_Change,Temperature,Linear,-137.54962147837716,0.09929665197191728,0.01696231826439402,8.254254260673434
Percent_Change,Temperature,Polynomial,-141.40320475672866,0.19170214334595037,0.0161004896743624,4.400670982321941
Percent_Change,pH,Linear,-136.43846908366453,0.08156617285060389,0.0312777657204677,9.365406655386067
Percent_Change,pH,Polynomial,-145.8038757390506,0.251758437027654,9.276226279649603e-4,0
Percent_Change,Phosphate,Linear,-131.96847960914968,0.006642394541195403,0.546714902883933,13.835396129900914
Percent_Change,Phosphate,Polynomial,-129.6530929586845,0.006660064474609069,0.9753892906787865,16.150782780366086
Percent_Change,Silicate,Linear,-135.74939945109742,0.0703958982154592,0.04607918083634802,10.054476287953179
Percent_Change,Silicate,Polynomial,-133.65540371980342,0.07401599706751215,0.647742491328941,12.14847201924718
Percent_Change,Nitrate+Nitrite,Linear,-132.53837822221539,0.016524718538265246,0.340600172844842,13.265497516835211
Percent_Change,Nitrate+Nitrite,Polynomial,-131.67907010228163,0.04134670809826414,0.2422059324344304,14.124805636768968
Change_Over_Area,Salinity,Linear,-275.25654539988085,0.08934898580748471,0.023904663990367114,10.95189870512786
Change_Over_Area,Salinity,Polynomial,-286.2084441050087,0.2784637904109843,4.1656678138059873e-4,0
Change_Over_Area,Temperature,Linear,-273.8641819961846,0.06683020539085761,0.052179017368049335,12.344262108824125
Change_Over_Area,Temperature,Polynomial,-279.64058568227927,0.1903450657030846,0.00584639178535371,6.567858422729444
Change_Over_Area,pH,Linear,-273.0138802221451,0.052805225750375336,0.08551169060315991,13.194563882863633
Change_Over_Area,pH,Polynomial,-279.8247124853722,0.19295627006938704,0.0034207944693719922,6.383731619636535
Change_Over_Area,Phosphate,Linear,-270.071888315093,0.002633165932888372,0.7046269838643436,16.13655578991569
Change_Over_Area,Phosphate,Polynomial,-268.2013706571849,0.010404639553590321,0.5176739750128232,18.007073447823814
Change_Over_Area,Silicate,Linear,-273.8254604353941,0.06619606386428745,0.053347783259568383,12.382983669614589
Change_Over_Area,Silicate,Polynomial,-272.03143988972766,0.07471487274728401,0.4837805928789469,14.177004215281045
Change_Over_Area,Nitrate+Nitrite,Linear,-272.431540155963,0.04307861623464022,0.1213323879368967,13.776903949045732
Change_Over_Area,Nitrate+Nitrite,Polynomial,-271.3002354920827,0.06276871912849545,0.2915622578745091,14.90820861292599
Max_L_1,Salinity,Linear,199.45463032343923,0.09960544119406999,0.016782670787548314,3.576135003486172
Max_L_1,Salinity,Polynomial,200.69437386935675,0.11645312531490441,0.3147578231291572,4.815878549403692
Max_L_1,Temperature,Linear,203.8117292152944,0.02808009639646541,0.21278713493081042,7.9332338953413455
Max_L_1,Temperature,Polynomial,205.8804769779332,0.03229372038181781,0.629707953227696,10.001981657980139
Max_L_1,pH,Linear,202.81327949193494,0.04495664672324137,0.11333329506675088,6.934784171981875
Max_L_1,pH,Polynomial,203.6253597116825,0.06983206020029058,0.23471795730714295,7.746864391729446
Max_L_1,Phosphate,Linear,198.26776909831594,0.11815973058255172,0.0088442378912405,2.3892737783628775
Max_L_1,Phosphate,Polynomial,200.05160323514076,0.12636063186723023,0.47954825795073996,4.1731079151877
Max_L_1,Silicate,Linear,205.37555596708077,0.0010457773615704694,0.8112579198638586,9.49706064712771
Max_L_1,Silicate,Polynomial,206.51184338021278,0.021515237280564092,0.292578913716082,10.63334806025972
Max_L_1,Nitrate+Nitrite,Linear,200.20799374782186,0.08762602337460795,0.0253692955049324,4.329498427868799
Max_L_1,Nitrate+Nitrite,Polynomial,195.87849531995306,0.18803661346971634,0.012499128880910882,0
Max_L_2,Salinity,Linear,203.71379597251413,0.06646445725978328,0.05284986594691305,0
Max_L_2,Salinity,Polynomial,205.55406807886692,0.0742299239259173,0.5038036552053272,1.840272106352785
Max_L_2,Temperature,Linear,206.58867183278386,0.018172672254891192,0.31741301768150465,2.874875860269725
Max_L_2,Temperature,Polynomial,208.8867800664369,0.018487708124131426,0.8957484793500007,5.172984093922764
Max_L_2,pH,Linear,205.0993029413452,0.04349484647026796,0.11950850532065406,1.3855069688310664
Max_L_2,pH,Polynomial,206.5977726984905,0.05712236463523154,0.38091428827106544,2.8839767259763676
Max_L_2,Phosphate,Linear,205.95950181312048,0.028950558572437234,0.2057334426205859,2.245705840606348
Max_L_2,Phosphate,Polynomial,208.26291699921663,0.029171751973074093,0.9120906446265893,4.549121026702494
Max_L_2,Silicate,Linear,207.60822686067107,4.5279056122798645e-4,0.8751577326191282,3.8944308881569327
Max_L_2,Silicate,Polynomial,208.58701467558507,0.02363597310000558,0.2624938808622304,4.873218703070933
Max_L_2,Nitrate+Nitrite,Linear,205.07963273691726,0.043824871135063025,0.11808337566557463,1.3658367644031273
Max_L_2,Nitrate+Nitrite,Polynomial,205.09893751543262,0.08159253012027544,0.14199474229708606,1.3851415429184897
Max_L_Basal,Salinity,Linear,170.1980149544457,0.07730329597268534,0.03625149259108491,0
Max_L_Basal,Salinity,Polynomial,172.42755127001692,0.07870835440797172,0.7752290427928075,2.2295363155712096
Max_L_Basal,Temperature,Linear,173.92014593585685,0.015039906620352423,0.36344751138227527,3.7221309814111407
Max_L_Basal,Temperature,Polynomial,176.02881837360994,0.018622916425677434,0.6588021117884644,5.830803419164226
Max_L_Basal,pH,Linear,172.44734513879558,0.0401639241668617,0.13498039413417168,2.2493301843498728
Max_L_Basal,pH,Polynomial,173.58539471047501,0.05980275268143683,0.2929395396514329,3.387379756029304
Max_L_Basal,Phosphate,Linear,173.65388128648468,0.019630230438592015,0.29857465071686196,3.4558663320389655
Max_L_Basal,Phosphate,Polynomial,175.91733585678296,0.02054045092752343,0.8235911038456019,5.719320902337245
Max_L_Basal,Silicate,Linear,174.77324186659425,1.8754010222100663e-4,0.919466698153928,4.575226912148537
Max_L_Basal,Silicate,Polynomial,176.39547040656012,0.012289869577702664,0.41954761588426204,6.197455452114411
Max_L_Basal,Nitrate+Nitrite,Linear,173.98501811526478,0.013918277106984992,0.3821061805335064,3.7870031608190686
