PLACEMENT,SLURRY.LABEL,PLATE,ROW,COLUMN,ORIGINAL.SLURRY.VOLUME,AMOUNT.OF.SAMPLE.USED..μL.,GOOD.SAMPLE,Tube.Name.,Sample.ID.,Volume.μL..,All.Events,sym_FSC.Events,sym_SSC.Events,include.Events,All.Events..Mean.Chla.A,sym_FSC.Mean.Chla.A,sym_SSC.Mean.Chla.A,include.Mean.Chla.A,All.Events..Events.μL.V.,sym_FSC.Events.μL.V.,sym_SSC.Events.μL.V.,include.Events.μL.V.
T0_PA11,PA11,3,A,1,25,28,TRUE,03-Well-A1,NA,150,2300,157,143,1767,1360050.5,6067153.5,5963865.5,1326607.6,15.33,1.05,0.95,14.71
T0_PA13,PA13,3,A,2,25,28,TRUE,03-Well-A2,NA,150.1,2735,145,146,2101,849739.0,5716855.0,5266301.0,777985.8,18.22,0.97,0.97,17.48
T0_PA18,PA18,3,A,3,25,28,TRUE,03-Well-A3,NA,150.1,6676,640,607,4944,1760565.4,6871944.5,6801309.0,1647128.0,44.48,4.26,4.04,41.14
T0_PA19,PA19,3,A,4,25,28,TRUE,03-Well-A4,NA,150.1,3946,200,193,3031,817790.1,5916568.5,5770566.0,788162.1,26.29,1.33,1.29,25.22
T0_PA21,PA21,3,A,5,25,28,TRUE,03-Well-A5,NA,150,5096,141,146,3975,912369.8,8188407.5,7903020.5,875651.1,33.96,0.94,0.97,33.08
T0_PA22,PA22,3,A,6,25,28,TRUE,03-Well-A6,NA,150.1,5369,282,269,4224,1424434.3,6299837.0,6094318.0,1286341.5,35.76,1.88,1.79,35.13
PAC V01 C,PAC 02,3,A,7,25,28,TRUE,03-Well-A7,NA,150.1,7009,521,542,5619,1003188.1,5656613.0,5417670.5,975064.0,46.70,3.47,3.61,46.75
PAC V02 C,PAC 04,3,A,8,25,28,TRUE,03-Well-A8,NA,150.2,2098,121,114,1608,1030943.3,4327838.5,4525840.5,918544.8,13.97,0.81,0.76,13.37
PAC V02 B,PAC 05,3,A,9,25,28,TRUE,03-Well-A9,NA,150,2410,110,82,1896,1123923.4,3196454.5,3311994.5,1120856.3,16.07,0.73,0.55,15.79
PAC V02 A,PAC 06,3,A,10,25,28,TRUE,03-Well-A10,NA,150,10451,751,688,8261,772389.4,4111417.8,4190574.0,768400.4,69.66,5.01,4.59,68.76
PAC V03 C,PAC 07,3,A,11,25,28,TRUE,03-Well-A11,NA,150,3043,227,241,2372,1070137.3,4972355.0,4695596.0,973394.7,20.28,1.51,1.61,19.74
PAC V03 B,PAC 08,3,A,12,25,28,TRUE,03-Well-A12,NA,150,3128,148,174,2438,1055169.3,4627758.5,4304322.5,1042718.3,20.85,0.99,1.16,20.30
