Vial_No_Only,Placement_Code,T0_dry_weight.g,T1_dry_weight.g,Change,Change_Over_Area,Percent_Change
1,PRU V01 A,19.129550811024508,21.69341299703396,2.5638621860094517,0.0651031800197009,0.13402626184676947
3,PRU V01 B,19.404638194133597,22.491036152102605,3.086397957969009,0.07855764659748772,0.15905465111439632
2,PRU V01 C,19.637637117478544,23.459997770058674,3.82236065258013,0.0674049710016705,0.19464463212725452
6,PRU V02 A,20.225665164782946,20.797699731969683,0.5720345671867371,0.04104160213193483,0.028282608385249413
5,PRU V02 B,18.82358490148018,20.692201177985638,1.8686162765054561,0.05909112769610665,0.0992699470523555
4,PRU V02 C,19.114092086713192,20.339763604243256,1.2256715175300634,0.04103289730155021,0.06412397261505642
9,PRU V03 A,20.45111239136421,22.113433405381087,1.6623210140168787,0.05266058897562554,0.08128266972503749
8,PRU V03 B,18.620065685026205,18.998687031262943,0.3786213462367378,0.1011858727889856,0.020334049978202585
7,PRU V03 C,21.41965468695476,22.93501138456304,1.5153566976082793,0.05035387944657263,0.07074608436760556
15,PRU V04 A,25.297672743297834,27.30766030707031,2.0099875637724764,0.048134053060158756,0.07945345740568119
14,PRU V04 B,25.13226649522712,27.383822933797017,2.251556438569896,0.05109105981213974,0.08958827644922077
13,PRU V04 C,21.26677764915346,22.62079496899904,1.3540173198455783,0.04442859195470764,0.06366819375193289
18,PRU V05 A,18.7938944701749,20.54338639899874,1.74949192882384,0.058706679633665944,0.09308831288800776
17,PRU V05 B,20.199497453645687,22.105400878044414,1.9059034243987263,0.06411570424539885,0.09435400206230087
16,PRU V05 C,17.486599116818923,19.696681493472845,2.210082376653922,0.07362136234597293,0.12638720438945875
24,PRU V06 A,20.66277131102037,21.483778756273342,0.8210074452529703,0.07904182586434681,0.039733655901959805
23,PRU V06 B,21.99050199676771,23.630415020349435,1.6399130235817267,0.05188944631599333,0.07457369658149553
22,PRU V06 C,18.461224510216713,21.514212715939166,3.0529882057224533,0.07539124840098455,0.16537300675981081
27,PRU V07 A,18.32045702550215,21.63906049237817,3.31860346687602,0.07599497917218595,0.18114195853610587
26,PRU V07 B,17.894405735217937,20.163938387553806,2.2695326523358688,0.06487626527152646,0.1268291714135668
25,PRU V07 C,18.470358535155196,21.029121582019027,2.558763046863831,0.050140835445697696,0.13853348011591976
36,PRU V08 A,17.170267385306655,19.208878377556818,2.038610992250163,0.06797268677884566,0.11872913487618086
35,PRU V08 B,17.859622328825093,19.32837224684789,1.468749918022798,0.0520191365981979,0.08223857654885923
34,PRU V08 C,16.369046522421623,18.170073849646368,1.8010273272247446,0.06711036066985425,0.11002640408882546
45,PRU V09 A,18.8034564874828,18.997793343703197,0.19433685622039576,0.03798208481129743,0.010335166640759006
44,PRU V09 B,19.32456410333302,19.78142827181806,0.4568641684850405,0.05038079893132726,0.02364162865677485
43,PRU V09 C,16.191961465930053,16.942349574652972,0.7503881087229196,0.04697459229757972,0.046343249414336346
42,PRU V10 A,21.565036046786915,22.74285030902088,1.1778142622339658,0.03587663868275925,0.05461684643970045
41,PRU V10 B,17.836062267760585,18.256125567993127,0.4200633002325418,0.028373683202375318,0.023551347485023275
40,PRU V10 C,19.934587765639577,22.45963800059396,2.5250502349543815,0.07320433300015775,0.12666678963418074
30,PRU V11 A,18.615205382087982,20.22059250515404,1.605387123066059,0.05032211310266367,0.08624063447673819
29,PRU V11 B,17.310186294043522,17.42251933154278,0.11233303749925838,0.007870074593038425,0.006489418172114789
28,PRU V11 C,17.56424518738453,18.8155427787426,1.251297591358071,0.05967124202822866,0.0712411821862298
33,PRU V12 A,19.31987247439671,20.66515369145528,1.3452812170585702,0.0734764988289131,0.06963199259422537
32,PRU V12 B,15.791837239229613,16.884512458140456,1.092675218910843,0.08244800903280361,0.06919240632726709
31,PRU V12 C,19.552842814317376,20.215998547142178,0.6631557328248014,0.07849445966649482,0.03391607753012837
58,PRU V13 A,17.299679995778874,16.540545731959114,-0.7591342638197602,-0.050017148025875195,-0.04388140497425323
59,PRU V13 B,23.293653050350947,26.766624619129697,3.4729715687787497,0.07036206407839832,0.14909518748612188
60,PRU V13 C,20.727664947743897,24.130685954381832,3.4030210066379354,0.08065655420257482,0.1641777313178896
57,PRU V14 A,20.36531771982986,24.179406620839494,3.814088901009633,0.09115455525571514,0.18728354516638973
56,PRU V14 B,21.770080990763272,26.62053521924996,4.8504542284866865,0.07307956200493891,0.222803683208375
55,PRU V14 C,21.282139665391185,21.777440329439127,0.49530066404794226,0.10171363820302907,0.023273067080440014
21,PRU V15 A,23.34144101411676,25.953629301324746,2.612188287207985,0.05235914435465963,0.11191204029040665
20,PRU V15 B,21.5102268719825,22.85667675175287,1.346449879770372,0.044390701500417774,0.06259580095476118
19,PRU V15 C,26.933566030893477,28.348744758769556,1.4151787278760786,0.058144393857608126,0.05254331068722326
12,PRU V16 A,21.453697076468863,28.537306299418017,7.083609222949153,0.09698786000650027,0.33018128286703063
11,PRU V16 B,21.0205095690718,25.578168723147325,4.557659154075527,0.08150340780673497,0.21681963223105533
10,PRU V16 C,19.224061757213846,23.02426615429983,3.8002043970859845,0.10116580388642098,0.19767957703631256
51,PRU V17 A,16.882390958790293,21.16030191984418,4.2779109610538875,0.10058175367288306,0.25339485215667706
50,PRU V17 B,19.535618517277644,25.753259447316704,6.21764093003906,0.11381567258072008,0.3182720283230382
49,PRU V17 C,21.874415010731553,26.63847885591064,4.764063845179088,0.1112926889621065,0.21779160004241693
39,PRU V18 A,20.81626713999225,21.54584486017639,0.7295777201841425,0.03662288720168415,0.035048441455791876
