PLACEMENT,SLURRY.LABEL,ORIGINAL.SLURRY.VOLUME,AMOUNT.OF.SAMPLE.USED..μL.,sym_FSC.Events,sym_FSC.Mean.Chla.A,sym_FSC.Events.μL.V.,Pin_Number,Cage_Uncaged,Genotype,Species
T0_PR02,PR02,45,28,655,7044522.0,4.36,NA,NA,NA,NA
T0_PR03,PR03,45,28,85,7281263.5,0.57,NA,NA,NA,NA
T0_PR04,PR04,45,28,530,7900714.5,3.53,NA,NA,NA,NA
T0_PR06,PR06,45,28,595,7367314.0,3.97,NA,NA,NA,NA
T0_PR07,PR07,45,28,1233,7165827.0,8.22,NA,NA,NA,NA
T0_PR08,PR08,45,28,781,5549570.5,5.19,NA,NA,NA,NA
PRU V01 A,PRU 01,45,28,756,5955939.0,5.03,1,A,PR08,Porites_rus
PRU V01 C,PRU 02,45,28,933,6591855.5,6.22,1,C,PR08,Porites_rus
PRU V01 B,PRU 03,45,28,495,7192382.0,3.30,1,B,PR08,Porites_rus
PRU V02 C,PRU 04,45,28,420,6526993.5,2.80,2,C,PR06,Porites_rus
PRU V02 B,PRU 05,45,28,439,5696005.0,2.93,2,B,PR06,Porites_rus
PRU V02 A,PRU 06,45,28,156,6180437.0,1.04,2,A,PR06,Porites_rus
PRU V03 C,PRU 07,45,28,155,5792237.5,1.03,3,C,PR03,Porites_rus
PRU V16 C,PRU 10,45,28,427,6465228.0,2.85,16,C,PR03,Porites_rus
PRU V16 B,PRU 11,45,28,1101,6102306.0,7.34,16,B,PR03,Porites_rus
PRU V04 C,PRU 13,45,28,559,6061490.0,3.73,4,C,PR02,Porites_rus
PRU V04 B,PRU 14,45,28,815,6151550.0,5.43,4,B,PR02,Porites_rus
PRU V04 A,PRU 15,45,28,329,7211966.5,2.19,4,A,PR02,Porites_rus
PRU V05 C,PRU 16,45,28,484,7212409.5,3.23,5,C,PR02,Porites_rus
PRU V05 B,PRU 17,45,28,358,7166765.5,2.39,5,B,PR02,Porites_rus
PRU V05 A,PRU 18,45,28,278,7031314.5,1.85,5,A,PR02,Porites_rus
PRU V15 C,PRU 19,45,28,814,7039139.5,5.43,15,C,PR06,Porites_rus
PRU V15 B,PRU 20,45,28,1066,6372955.5,7.11,15,B,PR06,Porites_rus
PRU V15 A,PRU 21,45,28,884,6973357.5,5.89,15,A,PR06,Porites_rus
PRU V06 C,PRU 22,45,28,502,6356407.0,3.35,6,C,PR07,Porites_rus
PRU V06 A,PRU 24,45,28,59,6719308.0,0.39,6,A,PR07,Porites_rus
PRU V07 C,PRU 25,45,28,281,6963979.5,1.87,7,C,PR04,Porites_rus
PRU V07 B,PRU 26,45,28,346,6817349.5,2.31,7,B,PR04,Porites_rus
PRU V07 A,PRU 27,45,28,329,6307799.5,2.19,7,A,PR04,Porites_rus
PRU V11 C,PRU 28,45,28,85,6003366.5,0.57,11,C,PR07,Porites_rus
PRU V11 B,PRU 29,45,28,56,6159319.0,0.37,11,B,PR07,Porites_rus
PRU V11 A,PRU 30,45,28,79,5562508.0,0.53,11,A,PR07,Porites_rus
PRU V12 C,PRU 31,45,28,36,5207623.0,0.24,12,C,PR06,Porites_rus
PRU V12 B,PRU 32,45,28,76,6508885.5,0.51,12,B,PR06,Porites_rus
PRU V12 A,PRU 33,45,28,94,6065340.0,0.63,12,A,PR06,Porites_rus
PRU V08 C,PRU 34,45,28,264,7559780.0,1.76,8,C,PR02,Porites_rus
PRU V08 B,PRU 35,45,28,116,7592792.0,0.77,8,B,PR02,Porites_rus
PRU V08 A,PRU 36,45,28,249,6834741.5,1.66,8,A,PR02,Porites_rus
PRU V18 C,PRU 37,45,28,283,6879833.0,1.89,18,C,PR08,Porites_rus
PRU V18 B,PRU 38,45,28,166,6372942.0,1.11,18,B,PR08,Porites_rus
PRU V18 A,PRU 39,45,28,223,6043510.0,1.49,18,A,PR08,Porites_rus
PRU V10 C,PRU 40,45,28,323,6339097.5,2.15,10,C,PR07,Porites_rus
PRU V10 B,PRU 41,45,28,22,6313898.0,0.15,10,B,PR07,Porites_rus
PRU V10 A,PRU 42,45,28,291,6234592.0,1.94,10,A,PR07,Porites_rus
PRU V09 C,PRU 43,45,28,239,8184728.0,1.59,9,C,PR04,Porites_rus
PRU V09 B,PRU 44,45,28,102,8061329.0,0.68,9,B,PR04,Porites_rus
PRU V09 A,PRU 45,45,28,16,7353663.5,0.11,9,A,PR04,Porites_rus
PRU V19 C,PRU 46,45,28,146,7093030.0,0.97,19,C,PR08,Porites_rus
PRU V19 B,PRU 47,45,28,76,7836278.0,0.51,19,B,PR08,Porites_rus
PRU V19 A,PRU 48,45,28,179,7491292.0,1.19,19,A,PR08,Porites_rus
PRU V17 C,PRU 49,45,28,2124,6485886.0,14.16,17,C,PR08,Porites_rus
PRU V17 B,PRU 50,45,28,1021,6102190.0,6.80,17,B,PR08,Porites_rus
PRU V17 A,PRU 51,45,28,745,6216339.0,4.96,17,A,PR08,Porites_rus
PRU V20 C,PRU 52,45,28,844,7024134.5,5.62,20,C,PR03,Porites_rus
PRU V20 B,PRU 53,45,28,467,7349021.5,3.11,20,B,PR03,Porites_rus
PRU V20 A,PRU 54,45,28,574,7313190.0,3.83,20,A,PR03,Porites_rus
PRU V14 C,PRU 55,45,28,3,6761825.0,0.02,14,C,PR07,Porites_rus
PRU V14 B,PRU 56,45,28,1049,6688444.0,6.99,14,B,PR07,Porites_rus
PRU V14 A,PRU 57,45,28,486,6762989.0,3.24,14,A,PR07,Porites_rus
PRU V13 A,PRU 58,45,28,51,6262338.0,0.34,13,A,PR04,Porites_rus
PRU V13 B,PRU 59,45,28,1119,6309221.0,7.46,13,B,PR04,Porites_rus
PRU V13 C,PRU 60,45,28,1016,7360434.5,6.77,13,C,PR04,Porites_rus
T0_PRUS 064,PRUS 064,45,28,195,5557681.0,1.30,NA,NA,NA,NA
T0_PRUS 065,PRUS 065,45,28,263,7465466.0,1.75,NA,NA,NA,NA
T0_PRUS 078,PRUS 078,45,28,1162,6402451.0,7.74,NA,NA,NA,NA
T0_PRUS 079,PRUS 079,45,28,383,6892033.5,2.55,NA,NA,NA,NA
T0_PRUS 080,PRUS 080,45,28,438,7374823.5,2.92,NA,NA,NA,NA
PRU V03 C,PRU 07,45,28,254,5867607.5,1.69,3,C,PR03,Porites_rus
PRU V03 B,PRU 08,45,28,15,8803544.0,0.10,3,B,PR03,Porites_rus
PRU V16 A,PRU 12,45,28,756,7455874.0,5.04,16,A,PR03,Porites_rus
PRU V06 B,PRU 23,45,28,188,6501867.0,1.25,6,B,PR07,Porites_rus
PAC V15 C,PAC 19,25,28,835,4829668.5,5.57,15,A,PA21,Pocillopora_acuta
PAC V13 C,PAC 60,25,28,491,4539242.0,3.27,13,C,PA13,Pocillopora_acuta
PAC V06 C,PAC 22,25,28,281,5426359.5,1.87,6,A,PA18,Pocillopora_acuta
PAC V14 C,PAC 55,25,28,397,5891121.5,2.65,14,A,PA18,Pocillopora_acuta
PAC V15 C,PAC 19,25,28,548,4589004.0,3.65,15,A,PA21,Pocillopora_acuta
PAC V11 C,PAC 28,25,28,513,5575358.0,3.42,11,A,PA18,Pocillopora_acuta
